;id;path;angle
0;0;.\Image_Dataset\image_0.png;-0.5240384615384616
1;1;.\Image_Dataset\image_1.png;-0.5480769230769231
2;2;.\Image_Dataset\image_2.png;-0.4951923076923077
3;3;.\Image_Dataset\image_3.png;-0.48557692307692313
4;4;.\Image_Dataset\image_4.png;-0.46153846153846156
5;5;.\Image_Dataset\image_5.png;-0.45192307692307687
6;6;.\Image_Dataset\image_6.png;-0.4471153846153846
7;7;.\Image_Dataset\image_7.png;-0.46634615384615385
8;8;.\Image_Dataset\image_8.png;-0.46634615384615385
9;9;.\Image_Dataset\image_9.png;-0.4471153846153846
10;10;.\Image_Dataset\image_10.png;-0.46634615384615385
11;11;.\Image_Dataset\image_11.png;-0.46634615384615385
12;12;.\Image_Dataset\image_12.png;-0.4423076923076923
13;13;.\Image_Dataset\image_13.png;-0.4471153846153846
14;14;.\Image_Dataset\image_14.png;-0.4471153846153846
15;15;.\Image_Dataset\image_15.png;-0.4471153846153846
16;16;.\Image_Dataset\image_16.png;-0.4471153846153846
17;17;.\Image_Dataset\image_17.png;-0.46634615384615385
18;18;.\Image_Dataset\image_18.png;-0.46634615384615385
19;19;.\Image_Dataset\image_19.png;-0.4423076923076923
20;20;.\Image_Dataset\image_20.png;-0.4423076923076923
21;21;.\Image_Dataset\image_21.png;-0.4423076923076923
22;22;.\Image_Dataset\image_22.png;-0.4423076923076923
23;23;.\Image_Dataset\image_23.png;-0.4423076923076923
24;24;.\Image_Dataset\image_24.png;-0.45192307692307687
25;25;.\Image_Dataset\image_25.png;-0.45192307692307687
26;26;.\Image_Dataset\image_26.png;-0.45192307692307687
27;27;.\Image_Dataset\image_27.png;-0.4375
28;28;.\Image_Dataset\image_28.png;-0.4326923076923077
29;29;.\Image_Dataset\image_29.png;-0.4423076923076923
30;30;.\Image_Dataset\image_30.png;-0.4423076923076923
31;31;.\Image_Dataset\image_31.png;-0.46153846153846156
32;32;.\Image_Dataset\image_32.png;-0.46153846153846156
33;33;.\Image_Dataset\image_33.png;-0.47596153846153844
34;34;.\Image_Dataset\image_34.png;-0.47596153846153844
35;35;.\Image_Dataset\image_35.png;-0.5144230769230769
36;36;.\Image_Dataset\image_36.png;-0.5961538461538461
37;37;.\Image_Dataset\image_37.png;-0.6105769230769231
38;38;.\Image_Dataset\image_38.png;-0.6346153846153846
39;39;.\Image_Dataset\image_39.png;-0.6346153846153846
40;40;.\Image_Dataset\image_40.png;-0.6346153846153846
41;41;.\Image_Dataset\image_41.png;-0.6346153846153846
42;42;.\Image_Dataset\image_42.png;-0.6682692307692308
43;43;.\Image_Dataset\image_43.png;-0.7644230769230769
44;44;.\Image_Dataset\image_44.png;-0.7980769230769231
45;45;.\Image_Dataset\image_45.png;-0.7980769230769231
46;46;.\Image_Dataset\image_46.png;-0.7932692307692308
47;47;.\Image_Dataset\image_47.png;-0.7932692307692308
48;48;.\Image_Dataset\image_48.png;-0.7932692307692308
49;49;.\Image_Dataset\image_49.png;-0.7980769230769231
50;50;.\Image_Dataset\image_50.png;-0.7980769230769231
51;51;.\Image_Dataset\image_51.png;-0.8365384615384616
52;52;.\Image_Dataset\image_52.png;-0.8365384615384616
53;53;.\Image_Dataset\image_53.png;-0.8365384615384616
54;54;.\Image_Dataset\image_54.png;-0.8317307692307692
55;55;.\Image_Dataset\image_55.png;-0.8317307692307692
56;56;.\Image_Dataset\image_56.png;-0.7211538461538461
57;57;.\Image_Dataset\image_57.png;-0.7307692307692308
58;58;.\Image_Dataset\image_58.png;-0.6346153846153846
59;59;.\Image_Dataset\image_59.png;-0.48557692307692313
60;60;.\Image_Dataset\image_60.png;-0.4567307692307693
61;61;.\Image_Dataset\image_61.png;-0.3701923076923077
62;62;.\Image_Dataset\image_62.png;-0.23557692307692313
63;63;.\Image_Dataset\image_63.png;-0.13942307692307687
64;64;.\Image_Dataset\image_64.png;-0.0625
65;65;.\Image_Dataset\image_65.png;0.11057692307692313
66;66;.\Image_Dataset\image_66.png;0.13461538461538458
67;67;.\Image_Dataset\image_67.png;0.25
68;68;.\Image_Dataset\image_68.png;0.34134615384615374
69;69;.\Image_Dataset\image_69.png;0.3798076923076923
70;70;.\Image_Dataset\image_70.png;0.4471153846153846
71;71;.\Image_Dataset\image_71.png;0.6201923076923077
72;72;.\Image_Dataset\image_72.png;0.6971153846153846
73;73;.\Image_Dataset\image_73.png;0.7740384615384615
74;74;.\Image_Dataset\image_74.png;0.8173076923076923
75;75;.\Image_Dataset\image_75.png;0.8413461538461537
76;76;.\Image_Dataset\image_76.png;0.8413461538461537
77;77;.\Image_Dataset\image_77.png;0.8413461538461537
78;78;.\Image_Dataset\image_78.png;0.9134615384615385
79;79;.\Image_Dataset\image_79.png;0.9134615384615385
80;80;.\Image_Dataset\image_80.png;0.9038461538461537
81;81;.\Image_Dataset\image_81.png;0.9038461538461537
82;82;.\Image_Dataset\image_82.png;0.9278846153846154
83;83;.\Image_Dataset\image_83.png;0.9519230769230769
84;84;.\Image_Dataset\image_84.png;0.8894230769230769
85;85;.\Image_Dataset\image_85.png;0.9375
86;86;.\Image_Dataset\image_86.png;0.9567307692307692
87;87;.\Image_Dataset\image_87.png;0.9423076923076923
88;88;.\Image_Dataset\image_88.png;0.8942307692307692
89;89;.\Image_Dataset\image_89.png;0.875
90;90;.\Image_Dataset\image_90.png;0.8942307692307692
91;91;.\Image_Dataset\image_91.png;0.9134615384615385
92;92;.\Image_Dataset\image_92.png;0.8990384615384615
93;93;.\Image_Dataset\image_93.png;0.9230769230769231
94;94;.\Image_Dataset\image_94.png;0.9471153846153846
95;95;.\Image_Dataset\image_95.png;0.9471153846153846
96;96;.\Image_Dataset\image_96.png;0.9519230769230769
97;97;.\Image_Dataset\image_97.png;0.9519230769230769
98;98;.\Image_Dataset\image_98.png;0.9567307692307692
99;99;.\Image_Dataset\image_99.png;0.9471153846153846
100;100;.\Image_Dataset\image_100.png;0.9471153846153846
101;101;.\Image_Dataset\image_101.png;0.9471153846153846
102;102;.\Image_Dataset\image_102.png;0.9471153846153846
103;103;.\Image_Dataset\image_103.png;0.9326923076923077
104;104;.\Image_Dataset\image_104.png;0.8701923076923077
105;105;.\Image_Dataset\image_105.png;0.9326923076923077
106;106;.\Image_Dataset\image_106.png;0.9086538461538463
107;107;.\Image_Dataset\image_107.png;0.8894230769230769
108;108;.\Image_Dataset\image_108.png;0.9038461538461537
109;109;.\Image_Dataset\image_109.png;0.9134615384615385
110;110;.\Image_Dataset\image_110.png;0.9086538461538463
111;111;.\Image_Dataset\image_111.png;0.9086538461538463
112;112;.\Image_Dataset\image_112.png;0.9086538461538463
113;113;.\Image_Dataset\image_113.png;0.9086538461538463
114;114;.\Image_Dataset\image_114.png;0.9086538461538463
115;115;.\Image_Dataset\image_115.png;0.8894230769230769
116;116;.\Image_Dataset\image_116.png;0.8798076923076923
117;117;.\Image_Dataset\image_117.png;0.8894230769230769
118;118;.\Image_Dataset\image_118.png;0.8798076923076923
119;119;.\Image_Dataset\image_119.png;0.8798076923076923
120;120;.\Image_Dataset\image_120.png;0.8798076923076923
121;121;.\Image_Dataset\image_121.png;0.6394230769230769
122;122;.\Image_Dataset\image_122.png;0.5048076923076923
123;123;.\Image_Dataset\image_123.png;0.4951923076923077
124;124;.\Image_Dataset\image_124.png;0.4951923076923077
